img_name,psnr_c,psnr_r,ssim_c,ssim_r,ssim_avg
00106.png,51.452130,66.593103,0.999031,0.999708,0.999369
00107.png,39.535045,54.967965,0.992542,0.993623,0.993082
00108.png,53.113395,64.732257,0.998937,0.999887,0.999412
00109.png,61.283954,67.156251,0.999793,0.999991,0.999892
00110.png,62.172503,74.358561,0.999962,0.999992,0.999977
00111.png,58.910126,70.254468,0.999611,0.999994,0.999802
00112.png,57.407118,68.907797,0.999641,0.999987,0.999814
00113.png,59.060721,70.555532,0.999787,0.999981,0.999884
00114.png,56.509062,70.198547,0.999710,0.999959,0.999834
00115.png,55.544857,68.790519,0.999345,0.999946,0.999645
00116.png,61.033476,72.434331,0.999767,0.999983,0.999875
00117.png,58.299111,74.294739,0.999674,0.999992,0.999833
00118.png,52.417424,64.115502,0.999483,0.999781,0.999632
00119.png,55.851757,74.151580,0.999540,0.999987,0.999763
00120.png,56.642743,66.581975,0.999598,0.999969,0.999783
00121.png,57.106534,70.301549,0.999313,0.999986,0.999649
00122.png,56.114053,71.274178,0.999525,0.999990,0.999758
00123.png,52.915315,68.869170,0.998897,0.999921,0.999409
00124.png,54.628429,70.371522,0.999692,0.999944,0.999818
00125.png,57.529961,72.311139,0.999795,0.999982,0.999889
00126.png,54.415358,69.066523,0.999734,0.999972,0.999853
00127.png,61.201281,70.744910,0.999652,0.999991,0.999821
00128.png,46.693971,59.627148,0.999273,0.999117,0.999195
00129.png,55.202068,69.405476,0.999491,0.999965,0.999728
00130.png,51.808276,68.293446,0.999104,0.999861,0.999482
00131.png,58.245043,71.398654,0.999484,0.999989,0.999737
00132.png,61.258434,73.896876,0.999790,0.999992,0.999891
00133.png,60.789345,70.940025,0.999571,0.999988,0.999779
00134.png,58.223397,67.943323,0.999700,0.999969,0.999834
00135.png,50.719731,69.613103,0.999422,0.999849,0.999635
00136.png,55.836028,67.692597,0.999575,0.999979,0.999777
00137.png,57.428405,71.237323,0.999730,0.999969,0.999850
