img_name,psnr_c,psnr_r,ssim_c,ssim_r,ssim_avg
00176.png,48.334888,65.857234,0.998830,0.999839,0.999334
00177.png,55.606898,66.011077,0.998354,0.999982,0.999168
00178.png,53.916601,69.192313,0.998982,0.999980,0.999481
00179.png,52.938400,65.756100,0.998390,0.999958,0.999174
00180.png,54.929679,74.326820,0.999251,0.999994,0.999622
00181.png,53.965346,71.033018,0.999467,0.999985,0.999726
00182.png,52.553724,68.009004,0.997649,0.999975,0.998812
00183.png,42.931916,62.402650,0.992916,0.999102,0.996009
00184.png,44.873572,61.343803,0.997049,0.999138,0.998093
00185.png,43.259138,63.008750,0.995690,0.999356,0.997523
00186.png,50.414000,68.782010,0.997991,0.999875,0.998933
00187.png,46.966971,64.153569,0.997677,0.999561,0.998619
00188.png,49.918338,64.305140,0.997574,0.999905,0.998740
00189.png,51.054713,68.972000,0.997943,0.999969,0.998956
00190.png,48.363138,65.281211,0.998269,0.999854,0.999061
00191.png,47.875892,65.065053,0.996815,0.999710,0.998262
00192.png,49.466302,67.819876,0.998724,0.999924,0.999324
average,50.739096,67.294646,0.997889,0.999643,0.998766
