epoch,loss,psnr_train_cover,psnr_train_secret
1,14347.997142572513,34.85104897022247,43.14195988178253
2,1077.7694154936692,40.32611434459686,45.340137529373166
3,692.2569176684851,42.89058589935303,46.47993106842041
4,539.1464570144127,44.28311247825623,48.37482023239136
5,442.3432697866155,44.97937135696411,49.55833187103271
6,375.42202653556035,45.48838698863983,48.30733790397644
7,361.89993601831895,45.84926042556763,50.23802242279053
8,313.65495843996945,46.12270917892456,50.08767194747925
9,303.6554402318494,46.339929127693175,51.054631042480466
10,274.49978111530174,46.62448778152466,48.808123683929445
11,268.77450158130165,46.739698481559756,51.647010040283206
12,243.28455870178925,46.91697657108307,52.520848226547244
13,230.67410348475664,47.04939515590668,52.31465373039246
14,216.50348935182066,47.163884902000426,51.85696005821228
15,219.15024540342134,47.08048632144928,49.36421661376953
16,241.37381490071616,47.238614439964294,53.283078289031984
17,204.5185547751942,47.3328741312027,51.82111744880676
18,218.56260926696075,47.22347569465637,48.89797945022583
19,195.73564007638515,47.440122509002684,53.2594934463501
20,185.67393484882925,47.49699838161469,53.31732783317566
21,186.9781178441541,47.38401625156403,47.44236607551575
22,217.53563199098082,47.55407452583313,53.770826768875125
23,172.0049010528915,47.641932940483095,54.00436182022095
24,172.50282568219063,47.706986451148985,52.572621965408324
25,215.65428135312837,47.44897572994232,52.84577589035034
26,168.43692867235205,47.71775462627411,54.67365412712097
27,217.4822952445896,47.62629573345184,53.47191123962402
28,167.81963339619253,47.78306035995483,54.5885730266571
29,184.57581995821548,47.79821572303772,54.86209464073181
30,155.4615661796482,47.84191334247589,52.83362083435058
